,Sr.No,PIC,Name of Dam,Operated & Maintained by,Latitude,Longitude,Year of Completion,River Basin,River,Neareast City,Seismic Zone,Dam Type,Height above Lowest Foundation Level,Dam Length,Volume Content of Dam,Gross Storage Capacity,Reservoir Area,Effective Storage Capacity,Purpose,Designed Spillway Capacity
3549,1137,MH09LH1149,KOLTHAN,Maharashtra Water Resources Department,"19° 57 ' 40""","75° 23 ' 49""",1987,Godavari,Local Nalla,Aurangabad,II,Earthfill_Embankment,14.2,912,10000,709000,283000,659000,I,112
3550,1138,MH09LH1150,GEORAI,Maharashtra Water Resources Department,"19° 42 ' 19""","75° 29 ' 23""",1987,Godavari,Local Nalla,Paithan,II,Earthfill_Embankment,11.35,1242,83000,879000,344000,802000,I,143
3551,1139,MH09MH1151,SHIRWADE,Maharashtra Water Resources Department,"21° 20 ' 30""","74° 6 ' 17""",1987,Tapi,Rankapala,Nandurbar,III,Earthfill_Embankment,19.44,932,68670,1933000,76000,1845000,I,159
3552,1140,MH09LH1152,PADMALAYA,Maharashtra Water Resources Department,"20° 52 ' 13""","75° 43 ' 23""",1987,Tapi,Local Nalla,Erandol,II,Earthfill_Embankment,11.81,1140,129630,1053000,325200,961000,I,168.13
3553,1141,MH09LH1153,MOHALI,Maharashtra Water Resources Department,"18° 40 ' 55""","75° 54 ' 8""",1985,Godavari,Local Nalla,Beed,III,Earthfill_Embankment,11.45,1015,86500,1080000,408100,980000,I,189.53
3554,1142,MH09LH1154,HAROLI,Maharashtra Water Resources Department,"16° 58 ' 24""","74° 46 ' 31""",1987,Krishna,Local Nalla,K.Mahankal,III,Earthfill_Embankment,13.9,818,15000,1150000,137900,1040000,I,213
3555,1143,MH09MH1155,KONDAWAL,Maharashtra Water Resources Department,"21° 30 ' 36""","74° 38 ' 8""",1987,Tapi,Local Nalla,Shahada,III,Earthfill_Embankment,18.8,450,1700000,1880000,52000,1700000,I,214
3556,1144,MH09MH1156,PUNADI,Maharashtra Water Resources Department,"17° 3 ' 51""","74° 37 ' 30""",1987,Krishna,Local Nalla,Tasgaon,III,Earthfill_Embankment,17,476,122000,1410000,290000,1290000,I,225
3557,1145,MH09LH1157,SALIMBA,Maharashtra Water Resources Department,"19° 1 ' 42""","76° 1 ' 41""",1987,Godavari,Local Nalla,Majalgaon,II,Earthfill_Embankment,12.89,1140,179000,1750000,580000,1605000,I,234
3558,1146,MH09LH1159,SARWADI,Maharashtra Water Resources Department,"19° 43 ' 6""","76° 12 ' 12""",1987,Godavari,Local Nalla,Jalna,II,Earthfill_Embankment,12.8,1393,111000,2270000,1050000,2080000,I,343
3559,1147,MH09LH1160,GUGAWAD,Maharashtra Water Resources Department,"16° 54 ' 26""","75° 9 ' 53""",1987,Krishna,Local Nalla,Jath,III,Earthfill_Embankment,14.4,580,126000,1780000,395000,1590000,I,354
3560,1148,MH09MH1161,MOTINALA,Maharashtra Water Resources Department,"20° 59 ' 0""","74° 45 ' 0""",1987,Tapi,Motinalla,Dhule,III,Earthfill_Embankment,19.03,373,1448000,1690000,50000,1450000,I,365
3561,1149,MH09MH1162,GOLANGRI,Maharashtra Water Resources Department,"18° 43 ' 53""","75° 38 ' 30""",1987,Godavari,Local Nalla,Beed,III,Earthfill_Embankment,15.22,1230,208000,1990000,610000,1630000,I,436
3562,1150,MH09LH1163,BORGAON (SANGLI),Maharashtra Water Resources Department,"17° 0 ' 52""","74° 46 ' 15""",1987,Krishna,Local Nalla,K.Mahankal,III,Earthfill_Embankment,13.79,469,87000,1634000,510300,1470000,I,469
3563,1151,MH09MH1164,WANDRI,Maharashtra Water Resources Department,"19° 37 ' 8""","72° 56 ' 26""",1987,West Flowing Rivers from Tapi to Tadri,Wandri,Palghar,III,Earthfill_Embankment,28.27,1372,1206000,37110000,443800,35938000,I/H,567
3564,1152,MH09MH1165,PRATAPPUR,Maharashtra Water Resources Department,"17° 8 ' 25""","75° 4 ' 18""",1987,Krishna,Local Nalla,Jath,III,Earthfill_Embankment,16.9,824,97000,1670000,498000,1430000,I,657
3565,1153,MH09LH1166,WALTHAN,Maharashtra Water Resources Department,"20° 55 ' 22""","75° 4 ' 14""",1987,Tapi,Local Nalla,Chalisgaon,II,Earthfill_Embankment,14.15,1734,237310,2176000,620000,1698000,I,710
3566,1154,MH09LH1167,LABHANSARAD,Maharashtra Water Resources Department,"20° 26 ' 24""","79° 3 ' 30""",1987,Godavari,Labhansarad,Varora,II,Earthfill_Embankment,12,1782,276000,8220000,355000,7351000,I,774
3567,1155,MH09MH1168,KAKANI,Maharashtra Water Resources Department,"20° 51 ' 18""","74° 25 ' 24""",1987,Tapi,Umrad,Sakri,III,Earthfill_Embankment,21.6,780,204000,2570000,70000,2040000,I,782
3568,1156,MH09MH1169,CHOUGAON,Maharashtra Water Resources Department,"21° 50 ' 0""","74° 34 ' 0""",1987,Tapi,Hirasan Nalla,Dhule,III,Earthfill_Embankment,21.54,550,563000,6320000,120000,5650000,I,938
3569,1157,MH09MH1170,DEVARI,Maharashtra Water Resources Department,"20° 53 ' 55""","75° 35 ' 28""",2002,Tapi,Local Nalla,Jamner,II,Earthfill_Embankment,15.6,1199,427600,3472000,760000,2642000,I,632.94
3570,1158,MH09MH1171,AMBIDUMALA,Maharashtra Water Resources Department,"19° 15 ' 58""","74° 6 ' 53""",1987,Godavari,Kaluriver,Sangamner,III,Earthfill_Embankment,28.8,1145,434120,4390000,510000,4070000,I,1093
3571,1159,MH09MH1172,RAIGAVAN,Maharashtra Water Resources Department,"18° 28 ' 44""","76° 15 ' 29""",1987,Godavari,Murud Nalla,Latur,III,Earthfill_Embankment,13.83,1725,145320,12700000,4920000,11260000,I,1411
3572,1160,MH09HH1173,DHAMNI (SURYA),Maharashtra Water Resources Department,"19° 55 ' 20""","73° 3 ' 31""",1990,West Flowing Rivers from Tapi to Tadri,Surya,Jawhar,III,Other,58.08,623,1270000,285310000,17760000,276350000,I,2696
3573,1161,MH09HH1174,MAJALGAON,Maharashtra Water Resources Department,"19° 9 ' 38""","76° 11 ' 6""",1987,Godavari,Sindphana,Majalgaon,II,Other,31.19,6488,13410000,453640000,78130000,311340000,I/H,14500
3574,1162,MH09LH1175,WARWANDI,Maharashtra Water Resources Department,"19° 42 ' 6""","75° 24 ' 47""",1987,Godavari,Local Nalla,Paithan,II,Earthfill_Embankment,14,980,225000,1752000,600000,1555000,I,348.65
3575,1163,MH09MH1176,SULIPADA,Maharashtra Water Resources Department,"21° 9 ' 7""","73° 50 ' 25""",1987,Tapi,Local Nalla,Nawapur,III,Earthfill_Embankment,17.03,531,178000,1850000,40000,1810000,I,230
3576,1164,MH09MH1177,KHANAPUR (KOLHAPUR),Maharashtra Water Resources Department,"16° 5 ' 22""","74° 10 ' 37""",1988,Krishna,Local Nalla,Ajara,III,Earthfill_Embankment,21.35,240,95000,840000,167000,820000,I,36
3577,1165,MH09LH1178,GHORPADI,Maharashtra Water Resources Department,"17° 11 ' 16""","74° 58 ' 59""",1988,Krishna,Local Nalla,K.Mahankal,III,Earthfill_Embankment,13.62,390,64000,1500000,573000,1280000,I,390
3578,1166,MH09LH1179,JUTPANI,Maharashtra Water Resources Department,"21° 30 ' 32""","76° 55 ' 35""",1988,Tapi,Local Nalla,Dharni,III,Earthfill_Embankment,12,715,93000,1196000,415000,1156000,I,77
3579,1167,MH09MH1180,MOGARDA,Maharashtra Water Resources Department,"21° 26 ' 4""","76° 56 ' 13""",1988,Tapi,Local Nalla,Dharur,III,Earthfill_Embankment,14.55,438,145000,1310000,,1310000,I,98
3580,1168,MH09MH1181,DIWALWADI,Maharashtra Water Resources Department,"16° 43 ' 33""","73° 44 ' 22""",1988,West Flowing Rivers from Tapi to Tadri,Local Nala,Rajapur,III,Earthfill_Embankment,28,673,730000,3538000,468000,3511000,I,89
3581,1169,MH09LH1182,MOGARDA,Maharashtra Water Resources Department,"21° 31 ' 0""","76° 55 ' 0""",1988,Tapi,Local Nalla,Dharni,III,Earthfill_Embankment,14.55,438,145000,1650000,418100,1600000,I,98
3582,1170,MH09LH1183,BORDA,Maharashtra Water Resources Department,"19° 58 ' 49""","78° 49 ' 56""",1988,Godavari,Local Nalla,Wani,II,Earthfill_Embankment,12.41,759,130000,2080000,505000,2000000,I,101
3583,1171,MH09LH1184,RUI,Maharashtra Water Resources Department,"18° 8 ' 8""","76° 7 ' 16""",1988,Godavari,Rui,Osmanabad,III,Earthfill_Embankment,11.75,2450,37000,8941000,4722000,8605000,I,110
3584,1172,MH09MH1185,LONI,Maharashtra Water Resources Department,"20° 9 ' 35""","75° 14 ' 28""",1988,Godavari,Local Nalla,Kannad,II,Earthfill_Embankment,16,407,346000,860000,29000,850000,I,114
3585,1173,MH09LH1186,GAMBHARI,Maharashtra Water Resources Department,"21° 30 ' 39""","76° 48 ' 23""",1988,Tapi,Local Nalla,Dharni,III,Earthfill_Embankment,11.6,720,106000,1527000,438000,1417000,I,119
3586,1174,MH09MH1187,SHEKAPUR,Maharashtra Water Resources Department,"20° 27 ' 16""","75° 59 ' 38""",1988,Godavari,Local Nalla,Buldana,II,Earthfill_Embankment,15.8,815,182000,1275000,360000,1210000,I,124
3587,1175,MH09LH1188,DHARUR,Maharashtra Water Resources Department,"21° 11 ' 17""","77° 3 ' 22""",1988,Tapi,Local Nalla,Akot,III,Earthfill_Embankment,12.92,1038,110000,930000,399000,850000,I,146
3588,1176,MH09LH1189,SALGARA,Maharashtra Water Resources Department,"18° 43 ' 47""","77° 26 ' 43""",1988,Godavari,Local Nalla,Mukhed,II,Earthfill_Embankment,11.2,885,90000,1242000,412000,1149000,I,163
3589,1177,MH09LH1190,ANCHARWADI-II,Maharashtra Water Resources Department,"20° 11 ' 44""","76° 13 ' 7""",1988,Godavari,Local Nalla,Deulgaon Raja,II,Earthfill_Embankment,14.4,795,148000,1450000,375000,1333000,I,222.3
3590,1178,MH09MH1191,DIGHI-2,Maharashtra Water Resources Department,"21° 18 ' 40""","75° 8 ' 22""",1988,Tapi,Local Nalla,Pachora,II,Earthfill_Embankment,18.87,1611,150000,164000,255000,84000,I,225
3591,1179,MH09MH1192,NANDORA,Maharashtra Water Resources Department,"21° 5 ' 50""","78° 51 ' 45""",1988,Godavari,Local Nalla,Hingna,II,Earthfill_Embankment,18.8,534,257000,2573000,45000,2448000,I,231
3592,1180,MH09LH1193,KUNDALI,Maharashtra Water Resources Department,"18° 43 ' 22""","73° 23 ' 45""",1986,Krishna,Kundali,Mawal,III,Earthfill_Embankment,38.6,205,90000,7140000,318000,6430000,I,255
3593,1181,MH09MH1194,GHORDARI,Maharashtra Water Resources Department,"19° 51 ' 31""","76° 42 ' 41""",1988,Godavari,Local Nalla,Hingoli,II,Earthfill_Embankment,15.62,457,119260,2646000,500000,2462000,I,323
3594,1182,MH09LH1195,KHIRDI,Maharashtra Water Resources Department,"20° 6 ' 40""","75° 2 ' 6""",1988,Godavari,Local Nalla,Vaijapur,II,Earthfill_Embankment,12,1874,165000,2950000,1250000,2610000,I,592
3595,1183,MH09MH1196,KURHAL,Maharashtra Water Resources Department,"20° 0 ' 0""","77° 0 ' 30""",1988,Tapi,Khanday,Malegaon,II,Earthfill_Embankment,15.89,464,130000,3570000,830000,3070000,I,801
3596,1184,MH09MH1197,KHEKARANALLA,Maharashtra Water Resources Department,"21° 32 ' 20""","78° 56 ' 49""",1988,Godavari,Khekara Nalla,Savner,II,Earthfill_Embankment,24.5,330,306000,26130000,5566000,23810000,I,1343
3597,1185,MH09MH1198,KALISARAR,Maharashtra Water Resources Department,"21° 10 ' 25""","80° 27 ' 11""",1988,Godavari,kalisar,Salekasa,II,Other,25.3,929,697000,28518000,6500000,26044000,I,1835
3598,1186,MH09MH1199,WADI,Maharashtra Water Resources Department,"21° 27 ' 7""","78° 50 ' 11""",1988,Tapi,Dibri,Shirpur,III,Earthfill_Embankment,15.15,436,133000,1480000,40000,1340000,I,320
3599,1187,MH09MH1200,KOREGAON (SOLAPUR),Maharashtra Water Resources Department,"18° 25 ' 16""","75° 45 ' 26""",1988,Krishna,Koregaon,Barshi,III,Earthfill_Embankment,21.64,437.44,235000,2408000,9500000,2350000,I,335
3600,1188,MH09MH1201,LODHARE,Maharashtra Water Resources Department,"20° 16 ' 0""","74° 55 ' 7""",1988,Tapi,Local Nalla,Shahada,III,Earthfill_Embankment,20.48,870,274000,3050000,62000,2740000,I,832
3601,1189,MH09LH1202,WAGHEVABULGAON,Maharashtra Water Resources Department,"18° 44 ' 37""","75° 49 ' 48""",1988,Godavari,Local Nalla,Kaij,III,Earthfill_Embankment,12.77,1320,229000,4853000,2008000,3742000,I,691.6
3602,1190,MH09LH1203,BORJAWALA,Maharashtra Water Resources Department,"20° 43 ' 22""","76° 22 ' 11""",1988,Tapi,Local Nalla,Khamgaon,II,Earthfill_Embankment,12.42,840,10300,1030000,54000,920000,I,219.5
3603,1191,MH09MH1204,CHORGEWADI,Maharashtra Water Resources Department,"16° 4 ' 47""","73° 43 ' 24""",1989,West Flowing Rivers from Tapi to Tadri,Local Nala,Orosbudrukh,III,Earthfill_Embankment,18.8,1052,260000,3214000,2100000,3200000,I,55.59
3604,1192,MH09MH1205,PASHANE,Maharashtra Water Resources Department,"19° 6 ' 40""","73° 19 ' 25""",1989,West Flowing Rivers from Tapi to Tadri,Local Nala,Karjat,III,Earthfill_Embankment,24.16,372,226000,2987000,296200,2753000,I,72.4
3605,1193,MH09LH1206,NANDGAON,Maharashtra Water Resources Department,"19° 23 ' 9""","78° 4 ' 4""",1989,Godavari,Local Nalla,Kinwat,II,Earthfill_Embankment,11.74,1154,178000,1541000,497000,1496000,I,78
3606,1194,MH09LH1207,UMRALE,Maharashtra Water Resources Department,"20° 15 ' 11""","73° 45 ' 49""",1989,Godavari,Local Nalla,Dindori.,III,Earthfill_Embankment,10.7,640,285040,1111000,265600,1087000,I,98.66
3607,1195,MH09MH1208,THOSEGHAR,Maharashtra Water Resources Department,"17° 36 ' 9""","73° 52 ' 31""",1989,Krishna,Tarali,Satara,IV,Earthfill_Embankment,18.05,259,52000,1911000,276000,1844000,I,113
3608,1196,MH09MH1209,KARANJIWANE,Maharashtra Water Resources Department,"16° 21 ' 19""","74° 13 ' 26""",1989,Krishna,Local Nalla,Kagal,III,Earthfill_Embankment,21,495,155000,1510000,216000,1440000,I,124
3609,1197,MH09MH1210,PARUNDE,Maharashtra Water Resources Department,"19° 8 ' 26""","73° 49 ' 25""",1989,Krishna,Local Nalla,Junnar,III,Earthfill_Embankment,20.02,345,54000,85000,160000,85000,I,146
3610,1198,MH09MH1211,BHAKUCHIWADI,Maharashtra Water Resources Department,"17° 21 ' 31""","74° 32 ' 56""",1989,Krishna,Local Nalla,Khanapur.,III,Earthfill_Embankment,19.7,1770,37000,7390000,1088000,5700000,I,150
3611,1199,MH09LH1212,GAWANDGAON,Maharashtra Water Resources Department,"20° 24 ' 59""","76° 45 ' 59""",1989,Tapi,Local Nalla,Patur,II,Earthfill_Embankment,14.51,660,88800,1120000,480000,1050000,I,164.54
3612,1200,MH09MH1213,ASOLAGAVHA,Maharashtra Water Resources Department,"20° 9 ' 38""","77° 30 ' 30""",1989,Godavari,Local Nalla,Manora,II,Earthfill_Embankment,19.54,422,196000,2070000,433000,1970000,I,193
3613,1201,MH09MH1214,KODE,Maharashtra Water Resources Department,"16° 38 ' 22""","73° 52 ' 23""",1989,Krishna,Local Nalla,Gaganbawada,III,Earthfill_Embankment,24.77,530,295000,6060000,817000,5940000,I,234
3614,1202,MH09MH1215,ANTRI (BK),Maharashtra Water Resources Department,"17° 2 ' 22""","74° 4 ' 39""",1989,Krishna,Local Nalla,Shirala,IV,Earthfill_Embankment,22.79,907,193000,2820000,570000,2640000,I,235
3615,1203,MH09MH1216,WALEN,Maharashtra Water Resources Department,"18° 34 ' 19""","73° 30 ' 30""",1989,Krishna,Walki,Mulshi,III,Earthfill_Embankment,20.75,410,132000,5089000,570000,5069000,I,283
3616,1204,MH09MH1217,TAKAVE,Maharashtra Water Resources Department,"17° 4 ' 51""","74° 6 ' 41""",1989,Krishna,Local Nalla,Shirala,IV,Earthfill_Embankment,24.81,837,309000,2970000,407000,2720000,I,284
3617,1205,MH09HH1218,YEWATI MASOLI,Maharashtra Water Resources Department,"17° 10 ' 0""","74° 1 ' 4""",1989,Krishna,Yeoti Nalla,Karad,IV,Earthfill_Embankment,36,973,563000,7300000,882000,7050000,I,935
3618,1206,MH09LH1219,ALSUND,Maharashtra Water Resources Department,"17° 12 ' 5""","74° 29 ' 30""",1989,Krishna,Local Nalla,Khanapur.,III,Earthfill_Embankment,13.98,771,114000,1402000,503000,1229000,I,332
3619,1207,MH09MH1220,THANGAON,Maharashtra Water Resources Department,"19° 42 ' 5""","73° 55 ' 22""",1989,Godavari,Local Nalla,Sinnar.,III,Earthfill_Embankment,18.71,260,261000,1424000,280000,1224000,I,345
3620,1208,MH09MH1221,NALEGAON,Maharashtra Water Resources Department,"20° 10 ' 31""","73° 42 ' 44""",1989,Godavari,Local Nalla,Dindori.,III,Earthfill_Embankment,19.57,640,382210,2258000,372400,2219000,I,534
3621,1209,MH09MH1222,CHINCHANI (AMBAK),Maharashtra Water Resources Department,"17° 11 ' 37""","74° 20 ' 4""",1989,Krishna,Local Nalla,Khanapur.,III,Earthfill_Embankment,17.46,1447,30000,4330000,1037000,3980000,I,628
3622,1210,MH09MH1223,GIRZANI,Maharashtra Water Resources Department,"17° 51 ' 29""","74° 58 ' 31""",1989,Krishna,Local Nalla,Malshiras,III,Earthfill_Embankment,17,385,63000,1550000,590000,1460000,I,657
3623,1211,MH09MH1224,KAZIKANBAS,Maharashtra Water Resources Department,"17° 43 ' 46""","76° 17 ' 42""",1989,Krishna,Local Nalla,Akkalkot,III,Earthfill_Embankment,20,805,357000,4030980,662500,3567990,I,692.15
3624,1212,MH09MH1225,AGNAWATI,Maharashtra Water Resources Department,"20° 29 ' 27""","75° 12 ' 1""",1989,Tapi,Anpavanti,Pachora,II,Earthfill_Embankment,16.04,3540,317000,3740000,1200000,2760000,I,951
3625,1213,MH09HH1226,DUDHAGANGA,Maharashtra Water Resources Department,"21° 39 ' 30""","79° 17 ' 39""",1999,Krishna,Dudhaganga,Radhanagari,III,Other,75,1280,150000,719120000,25360000,679110000,I/H,2247
3626,1214,MH09MH1227,KHAIRI,Maharashtra Water Resources Department,"18° 36 ' 19""","75° 26 ' 6""",1989,Krishna,Khar,Mahal,III,Earthfill_Embankment,18.91,1210,54000,15110000,492000,13743000,I,1962
3627,1215,MH09MH1228,LOWER TERNA (MAKNI),Maharashtra Water Resources Department,"18° 1 ' 43""","76° 25 ' 47""",1989,Godavari,Tirna,Omerga,III,Other,25.6,3910,1174000,121188000,28110000,91221000,I,10700
3628,1216,MH09HH1229,TOTLADOH,Maharashtra Water Resources Department,"21° 39 ' 32""","79° 13 ' 55""",1989,Godavari,Pench,Ramtek,II,Earthfill_Embankment,74.5,3061,972000,1166930000,77710000,1016930000,H,12072
3629,1217,MH09MH1230,SHIVSAGAR,Maharashtra Water Resources Department,"17° 24 ' 12""","73° 45 ' 6""",1989,Krishna,Ramnagar Nalla,Lonawala,II,Other,25.7,511,62000,1810000,325890,1540000,O,70
3630,1218,MH09MH1231,HALDANI,Maharashtra Water Resources Department,"21° 8 ' 39""","73° 57 ' 55""",1989,Tapi,Local Nalla,Nawapur,III,Earthfill_Embankment,19.42,1230,332000,3620000,62000,3520000,I,410
3631,1219,MH09LH1232,MATLA,Maharashtra Water Resources Department,"20° 24 ' 1""","76° 6 ' 14""",1989,Godavari,Local Nalla,Buldana,II,Earthfill_Embankment,12.93,530,1400000,1400000,43320,1280000,I,225.1
3632,1220,MH09LH1233,KARLI,Maharashtra Water Resources Department,"20° 14 ' 39""","77° 37 ' 33""",1990,Godavari,Local Nalla,Manora,II,Earthfill_Embankment,14.8,292,80530,1035000,223000,987000,I,94
3633,1221,MH09MH1234,SHIVDAV,Maharashtra Water Resources Department,"16° 14 ' 16""","73° 47 ' 14""",1990,West Flowing Rivers from Tapi to Tadri,Local Nala,Kankavali,III,Earthfill_Embankment,24.8,264,326000,2687000,224060,2648000,I,113.31
3634,1222,MH09MH1235,HADASHI 1,Maharashtra Water Resources Department,"18° 36 ' 8""","73° 31 ' 18""",1990,Krishna,Walki,Mulshi,III,Earthfill_Embankment,21.83,720,288000,3050000,420000,2970000,I,181
3635,1223,MH09MH1236,RAJURA,Maharashtra Water Resources Department,"19° 46 ' 56""","79° 22 ' 8""",1978,Tapi,Local Nalla,Kalamb,III,Earthfill_Embankment,18.75,524,148000,2290000,49400,2190000,I,196
3636,1224,MH09MH1237,KHED,Maharashtra Water Resources Department,"19° 39 ' 2""","73° 41 ' 57""",1990,Godavari,Local Nalla,Igatpuri,III,Earthfill_Embankment,19.01,417,208540,3797000,527000,3716000,I,216
3637,1225,MH09MH1238,VISARWADI,Maharashtra Water Resources Department,"18° 19 ' 13""","77° 9 ' 4""",1990,Tapi,Local Nalla,Nawapur,III,Earthfill_Embankment,20.55,655,298000,6810000,470000,6520000,I,368.6
3638,1226,MH09MH1239,GHODAMBE,Maharashtra Water Resources Department,"20° 30 ' 40""","73° 44 ' 53""",1990,Tapi,Local Nalla,Surgana,III,Earthfill_Embankment,18.56,451,164000,2220000,478080,2010000,I,431
3639,1227,MH09MH1240,RAMESHWAR,Maharashtra Water Resources Department,"20° 36 ' 41""","74° 9 ' 29""",1990,Tapi,Kokani,Kalwan,III,Earthfill_Embankment,17,960,235000,2020000,494010,1450000,I,462
3640,1228,MH09LH1241,DHAMANGAON BADHE,Maharashtra Water Resources Department,"20° 12 ' 39""","76° 30 ' 20""",1990,Tapi,Local Nalla,Jamner,II,Earthfill_Embankment,13.6,1080,137000,2960000,1051000,2690000,I,467
3641,1229,MH09HH1242,PATGAON,Maharashtra Water Resources Department,"16° 7 ' 29""","73° 56 ' 51""",1990,Krishna,Vedganga,Bhudargad,III,Earthfill_Embankment,39.19,1101.5,6802000,105242000,10700200,104770000,I/H,499.71
3642,1230,MH09MH1243,KAYANKANDA,Maharashtra Water Resources Department,"20° 53 ' 20""","74° 24 ' 21""",1990,Tapi,Local Nalla,Sakri,III,Earthfill_Embankment,17.34,594,193000,2220000,48000,1850000,I,557
3643,1231,MH09MH1244,NAGTHANA,Maharashtra Water Resources Department,"21° 33 ' 6""","78° 15 ' 38""",1990,Godavari,Chudamani,Warud,III,Earthfill_Embankment,17.3,1670,261000,2250000,630000,1707000,I,791.22
3644,1232,MH09HH1245,KASARI,Maharashtra Water Resources Department,"16° 51 ' 20""","73° 47 ' 36""",1990,Krishna,Kasari river,Shahuwadi,III,Earthfill_Embankment,44.24,297,97000,78565000,534000,77965000,I,680
3645,1233,MH09MH1246,ARSOLI,Maharashtra Water Resources Department,"18° 26 ' 12""","75° 43 ' 20""",1990,Krishna,Local Nalla,Bhoom,III,Earthfill_Embankment,23.3,6561,559000,9231000,1760000,7922000,I,931
3646,1234,MH09MH1247,MOGHA,Maharashtra Water Resources Department,"18° 43 ' 2""","77° 1 ' 13""",1990,Godavari,Local Nalla,Ahmedpur,II,Earthfill_Embankment,17.4,1444,311000,7892000,2280000,6971000,I,1049
3647,1235,MH09MH1248,VARDAWAD WADI,Maharashtra Water Resources Department,"20° 0 ' 17""","74° 35 ' 21""",1990,Tapi,Shakhari,Nandgaon,III,Earthfill_Embankment,18.2,203,176140,1280000,309960,1220000,I,1138
3648,1236,MH09MH1249,ADOL,Maharashtra Water Resources Department,"20° 6 ' 0""","76° 58 ' 56""",1990,Godavari,Adola,Malegaon,II,Earthfill_Embankment,18.47,1725,479000,15030000,3141000,12890000,I/S,1274
3649,1237,MH09MH1250,MANDWADWADI,Maharashtra Water Resources Department,"20° 0 ' 17""","74° 35 ' 20""",1990,Tapi,Shankambari,Nandgaon,III,Earthfill_Embankment,18.2,323,176140,1280000,309960,1220000,I,1939
3650,1238,MH09MH1251,CHIKHALGI,Maharashtra Water Resources Department,"17° 17 ' 22""","75° 25 ' 7""",1990,Krishna,Dodda,Mangalwedha,III,Earthfill_Embankment,18.19,1290,8740000,8740000,458000000,5950000,I,1965.5
3651,1239,MH09HH1252,SHAHANOOR,Maharashtra Water Resources Department,"21° 28 ' 39""","77° 5 ' 55""",1990,Tapi,Shahanoor,Achalpur,III,Earthfill_Embankment,56.45,828,3446000,47850000,2970000,46040000,I/S,2406
3652,1240,MH09MH1253,LOWER WUNNA (NAND),Maharashtra Water Resources Department,"20° 43 ' 35""","79° 7 ' 0""",1990,Godavari,Nand,Umred,II,Earthfill_Embankment,16.25,2513,1833000,62182000,21642000,53182000,I,5238
3653,1241,MH09LH1254,VISHNUPURI,Maharashtra Water Resources Department,"19° 6 ' 24""","77° 17 ' 38""",1990,Godavari,Godavari,Nanded,III,Other,29.5,321,100700,8355000,10678000,8079000,I,33975
3654,1242,MH09MH1255,JAWALA,Maharashtra Water Resources Department,"20° 2 ' 42""","77° 6 ' 1""",1990,Godavari,Local Nalla,Risod,II,Earthfill_Embankment,15.32,270,70000,1168000,515800,1090000,I,125.05
3655,1243,MH09LH1256,KATAWADA,Maharashtra Water Resources Department,"20° 14 ' 35""","76° 20 ' 3""",1990,Godavari,Local Nalla,Chikhali,II,Earthfill_Embankment,13.03,650,1860000,1870000,63000,1700000,I,1.8
3656,1244,MH09HH1257,NANDKHED,Maharashtra Water Resources Department,"20° 25 ' 22""","79° 13 ' 21""",1990,Tapi,Local Nalla,Mangrulpir,II,Earthfill_Embankment,30.36,730,166000,1500000,37730,1390000,I,204.09
3657,1245,MH09MH1258,CHALKEWADI,Maharashtra Water Resources Department,"17° 11 ' 49""","74° 0 ' 44""",1991,Krishna,Local Nalla,Patan.,IV,Earthfill_Embankment,21.53,366,143000,798000,1540000,780000,I,39
3658,1246,MH09MH1259,PUNADE,Maharashtra Water Resources Department,"18° 50 ' 16""","73° 2 ' 0""",1991,West Flowing Rivers from Tapi to Tadri,Local Nala,Uran,III,Earthfill_Embankment,28.46,312,133200,1720000,190000,1710000,I,46.35
3659,1247,MH09MH1260,ASURDE,Maharashtra Water Resources Department,"17° 21 ' 46""","73° 30 ' 57""",1991,West Flowing Rivers from Tapi to Tadri,Local Nala,Chiplun,IV,Earthfill_Embankment,22.6,340,311000,1850000,260000,1830000,I,46.5
3660,1248,MH09LH1261,WALKESHWAR,Maharashtra Water Resources Department,"20° 58 ' 9""","79° 58 ' 34""",1991,Godavari,Local Nalla,Nagpur,II,Earthfill_Embankment,10.5,1422,,2131000,96350,2074000,I,124.91
3661,1249,MH09MH1262,OTURVAGHADARA,Maharashtra Water Resources Department,"19° 16 ' 28""","74° 1 ' 9""",1991,Krishna,Ramnagar Nalla,Junnar,III,Earthfill_Embankment,15.48,402,129220,850000,140000,850000,I,127.28
3662,1250,MH09MH1263,SHIVANI,Maharashtra Water Resources Department,"17° 0 ' 40""","74° 7 ' 9""",1991,Krishna,Local Nalla,Shirala,III,Earthfill_Embankment,16.23,1014,487000,1690000,380000,1510000,I,132
3663,1251,MH09MH1264,TALOSHI,Maharashtra Water Resources Department,"19° 40 ' 35""","73° 36 ' 39""",1991,Godavari,Local Nalla,Igatpuri,III,Earthfill_Embankment,20.75,317,257670,1400000,184600,1350000,I,138
3664,1252,MH09LH1265,SURABARDI,Maharashtra Water Resources Department,"21° 9 ' 30""","78° 56 ' 9""",1991,Godavari,Local Nalla,Hingana,II,Earthfill_Embankment,11.74,945,,2365000,75390,2285000,I,140.04
3665,1253,MH09MH1266,GHONSHI,Maharashtra Water Resources Department,"18° 31 ' 17""","77° 9 ' 26""",1991,Godavari,Local Nalla,Jalkot,II,Earthfill_Embankment,15.55,820,103000,1243000,116000,1161000,I,150
